@relation final_student_performance_scaled

@attribute "Attendance %" numeric
@attribute mst1 numeric
@attribute mst2 numeric
@attribute final numeric

@data
100.0,16.5,16.5,27.5
100.0,18.0,16.5,27.5
98.88888889,19.5,19.5,32.5
100.0,13.5,13.5,25.0
84.44444444,18.0,16.5,27.5
100.0,16.5,16.5,30.0
97.77777778,15.0,13.5,22.5
95.55555556,18.0,16.5,27.5
97.77777778,19.5,18.0,32.5
97.77777778,19.5,18.0,30.0
95.55555556,18.0,16.5,30.0
93.33333333,19.5,16.5,27.5
95.55555556,22.5,22.5,37.5
93.33333333,18.0,15.0,27.5
93.33333333,13.5,13.5,25.0
97.77777778,13.5,16.5,27.5
93.33333333,21.0,19.5,32.5
100.0,18.0,19.5,30.0
97.77777778,19.5,21.0,35.0
97.77777778,16.5,18.0,30.0
95.55555556,19.5,19.5,32.5
93.33333333,13.5,16.5,27.5
100.0,19.5,18.0,30.0
95.55555556,18.0,19.5,32.5
97.77777778,18.0,19.5,32.5
86.66666667,13.5,13.5,20.0
100.0,24.0,24.0,40.0
97.77777778,18.0,19.5,30.0
82.22222222,16.5,15.0,25.0
100.0,24.0,24.0,40.0
88.88888889,15.0,15.0,25.0
95.55555556,15.0,15.0,25.0
95.55555556,19.5,21.0,35.0
91.11111111,18.0,15.0,27.5
97.77777778,22.5,22.5,35.0
95.55555556,19.5,21.0,35.0
95.55555556,16.5,16.5,27.5
86.66666667,12.0,15.0,25.0
88.88888889,27.0,25.5,45.0
95.55555556,15.0,13.5,25.0
93.33333333,24.0,21.0,35.0
95.55555556,24.0,22.5,40.0
93.33333333,21.0,21.0,37.5
84.44444444,18.0,16.5,27.5
97.77777778,21.0,19.5,35.0
100.0,21.0,21.0,35.0
93.33333333,21.0,19.5,32.5
97.77777778,21.0,18.0,32.5
95.55555556,18.0,19.5,32.5
100.0,18.0,16.5,27.5
97.77777778,13.5,13.5,22.5
100.0,15.0,16.5,27.5
100.0,13.5,15.0,27.5
91.11111111,21.0,21.0,37.5
95.55555556,19.5,18.0,32.5
100.0,15.0,16.5,30.0
88.88888889,15.0,13.5,20.0
91.11111111,16.5,15.0,27.5
93.33333333,16.5,18.0,32.5
97.77777778,19.5,18.0,30.0
86.66666667,22.5,19.5,35.0
95.55555556,13.5,13.5,27.5
86.66666667,19.5,16.5,27.5
97.77777778,18.0,16.5,27.5
95.55555556,19.5,21.0,37.5
97.77777778,15.0,13.5,25.0
100.0,21.0,19.5,32.5
97.77777778,16.5,16.5,30.0
88.88888889,18.0,16.5,27.5
91.11111111,18.0,16.5,27.5
95.55555556,13.5,13.5,25.0
100.0,15.0,15.0,25.0
93.33333333,19.5,21.0,35.0
97.77777778,12.0,13.5,22.5
93.33333333,13.5,16.5,27.5
73.33333333,13.5,12.0,22.5
100.0,22.5,19.5,32.5
95.55555556,18.0,16.5,27.5
97.77777778,19.5,19.5,32.5
95.55555556,15.0,16.5,27.5
75.55555556,13.5,10.5,15.0
100.0,18.0,18.0,30.0
100.0,16.5,15.0,25.0
97.77777778,16.5,16.5,27.5
93.33333333,19.5,18.0,32.5
93.33333333,16.5,16.5,27.5
82.22222222,13.5,13.5,20.0
100.0,18.0,16.5,27.5
100.0,16.5,13.5,0.0
93.33333333,13.5,15.0,25.0
97.77777778,19.5,19.5,32.5
93.33333333,16.5,13.5,27.5
100.0,19.5,19.5,32.5
100.0,10.5,12.0,20.0
84.44444444,13.5,12.0,25.0
93.33333333,16.5,15.0,27.5
95.55555556,18.0,15.0,27.5
100.0,15.0,15.0,2.5
100.0,13.5,12.0,25.0
91.11111111,12.0,12.0,22.5
95.55555556,10.5,9.0,20.0
97.77777778,12.0,13.5,25.0
97.77777778,13.5,12.0,20.0
100.0,12.0,12.0,20.0
88.88888889,12.0,10.5,20.0
100.0,13.5,15.0,27.5
100.0,25.5,25.5,45.0
100.0,18.0,18.0,32.5
100.0,24.0,24.0,42.5
95.55555556,13.5,13.5,25.0
100.0,24.0,25.5,45.0
100.0,16.5,13.5,25.0
100.0,21.0,19.5,32.5
100.0,21.0,21.0,37.5
100.0,15.0,16.5,27.5
100.0,19.5,18.0,35.0
95.55555556,16.5,13.5,25.0
91.11111111,15.0,13.5,27.5
95.55555556,16.5,16.5,32.5
95.55555556,16.5,15.0,27.5
100.0,16.5,18.0,32.5
100.0,25.5,27.0,42.5
64.44444444,21.0,19.5,35.0
91.11111111,21.0,22.5,40.0
93.33333333,16.5,19.5,35.0
100.0,15.0,13.5,27.5
100.0,19.5,21.0,40.0
88.88888889,18.0,19.5,35.0
93.33333333,13.5,13.5,25.0
93.33333333,18.0,18.0,32.5
100.0,18.0,16.5,30.0
82.22222222,15.0,16.5,30.0
100.0,16.5,15.0,25.0
100.0,19.5,18.0,30.0
91.11111111,21.0,22.5,40.0
95.55555556,19.5,19.5,35.0
82.22222222,15.0,16.5,30.0
66.66666667,21.0,22.5,40.0
100.0,16.5,15.0,27.5
97.77777778,21.0,21.0,37.5
95.55555556,16.5,18.0,30.0
100.0,21.0,22.5,37.5
76.66666667,19.5,19.5,32.5
93.33333333,19.5,19.5,32.5
84.44444444,12.0,13.5,20.0
97.77777778,16.5,16.5,30.0
95.55555556,21.0,22.5,37.5
97.77777778,18.0,19.5,32.5
100.0,16.5,18.0,30.0
95.55555556,18.0,18.0,30.0
83.33333333,19.5,18.0,30.0
100.0,19.5,19.5,32.5
88.88888889,18.0,16.5,27.5
93.33333333,18.0,16.5,27.5
97.77777778,21.0,24.0,37.5
82.22222222,16.5,13.5,25.0
88.88888889,15.0,15.0,25.0
95.55555556,18.0,19.5,32.5
100.0,18.0,18.0,32.5
100.0,16.5,15.0,27.5
86.66666667,18.0,18.0,30.0
100.0,19.5,19.5,35.0
90.0,15.0,13.5,25.0
95.55555556,22.5,24.0,40.0
95.55555556,12.0,12.0,20.0
97.77777778,25.5,27.0,42.5
100.0,15.0,16.5,27.5
97.77777778,13.5,15.0,27.5
100.0,22.5,22.5,40.0
100.0,21.0,18.0,30.0
100.0,18.0,19.5,32.5
100.0,19.5,19.5,32.5
100.0,19.5,19.5,35.0
97.77777778,13.5,13.5,22.5
100.0,18.0,18.0,30.0
100.0,24.0,24.0,40.0
95.55555556,13.5,15.0,25.0
100.0,21.0,19.5,32.5
80.0,15.0,15.0,25.0
82.22222222,13.5,12.0,25.0
84.44444444,12.0,10.5,17.5
71.11111111,10.5,12.0,20.0
93.33333333,15.0,12.0,22.5
95.55555556,21.0,21.0,37.5
88.88888889,16.5,15.0,25.0
95.55555556,18.0,16.5,27.5
97.77777778,19.5,19.5,32.5
84.44444444,13.5,13.5,20.0
82.22222222,12.0,10.5,20.0
91.11111111,16.5,13.5,25.0
95.55555556,22.5,21.0,37.5
95.55555556,22.5,21.0,35.0
91.11111111,22.5,22.5,37.5
100.0,18.0,18.0,30.0
92.22222222,21.0,21.0,37.5
95.55555556,21.0,22.5,37.5
97.77777778,16.5,16.5,30.0
97.77777778,19.5,21.0,37.5
88.88888889,16.5,16.5,27.5
88.88888889,15.0,13.5,25.0
88.88888889,18.0,15.0,27.5
92.22222222,22.5,24.0,40.0
95.55555556,16.5,15.0,27.5
97.77777778,13.5,18.0,32.5
86.66666667,10.5,12.0,12.5
91.11111111,15.0,13.5,25.0
100.0,16.5,18.0,27.5
91.11111111,10.5,12.0,17.5
95.55555556,13.5,16.5,25.0
95.55555556,10.5,12.0,15.0
97.77777778,21.0,19.5,30.0
100.0,18.0,18.0,32.5
100.0,13.5,15.0,25.0
97.77777778,18.0,18.0,32.5
97.77777778,21.0,22.5,42.5
100.0,15.0,15.0,27.5
95.55555556,16.5,15.0,27.5
97.77777778,16.5,18.0,35.0
95.55555556,16.5,18.0,35.0
95.55555556,16.5,16.5,32.5
95.55555556,16.5,19.5,35.0
97.77777778,24.0,24.0,40.0
100.0,13.5,15.0,25.0
97.77777778,15.0,16.5,30.0
91.11111111,15.0,18.0,30.0
97.77777778,22.5,22.5,37.5
97.77777778,15.0,15.0,27.5
97.77777778,15.0,16.5,30.0
97.77777778,22.5,18.0,32.5
100.0,16.5,18.0,32.5
91.11111111,12.0,12.0,22.5
93.33333333,22.5,24.0,40.0
100.0,16.5,16.5,35.0
91.11111111,15.0,16.5,30.0
95.55555556,15.0,18.0,35.0
86.66666667,12.0,13.5,25.0
82.22222222,16.5,18.0,30.0
88.88888889,24.0,24.0,40.0
97.77777778,19.5,19.5,32.5
97.77777778,24.0,25.5,45.0
91.11111111,21.0,21.0,37.5
93.33333333,22.5,24.0,40.0
93.33333333,18.0,18.0,30.0
83.33333333,18.0,13.5,25.0
93.33333333,16.5,18.0,30.0
97.77777778,21.0,18.0,32.5
91.11111111,19.5,22.5,37.5
100.0,13.5,12.0,25.0
100.0,15.0,15.0,25.0
88.88888889,15.0,15.0,27.5
75.55555556,16.5,16.5,25.0
80.0,19.5,19.5,32.5
97.77777778,25.5,25.5,45.0
100.0,18.0,19.5,32.5
86.66666667,18.0,18.0,35.0
88.88888889,18.0,19.5,35.0
100.0,18.0,18.0,30.0
100.0,27.0,27.0,45.0
100.0,19.5,19.5,35.0
100.0,21.0,22.5,37.5
100.0,25.5,25.5,42.5
97.77777778,22.5,24.0,40.0
100.0,25.5,27.0,45.0
100.0,27.0,28.5,47.5
100.0,21.0,22.5,37.5
100.0,21.0,22.5,37.5
97.77777778,21.0,19.5,32.5
100.0,19.5,21.0,35.0
100.0,24.0,25.5,42.5
100.0,27.0,27.0,42.5
100.0,21.0,22.5,37.5
100.0,18.0,19.5,32.5
100.0,10.5,10.5,20.0
100.0,24.0,24.0,40.0
100.0,27.0,27.0,45.0
100.0,13.5,15.0,27.5
100.0,21.0,22.5,37.5
100.0,15.0,15.0,27.5
97.77777778,15.0,15.0,27.5
97.77777778,18.0,18.0,37.5
97.77777778,16.5,18.0,35.0
97.77777778,22.5,24.0,42.5
97.77777778,21.0,22.5,42.5
91.11111111,18.0,18.0,37.5
97.77777778,22.5,22.5,42.5
91.11111111,16.5,18.0,35.0
90.0,16.5,15.0,25.0
100.0,18.0,16.5,32.5
95.55555556,16.5,18.0,35.0
97.77777778,21.0,22.5,42.5
84.44444444,22.5,21.0,42.5
100.0,18.0,18.0,32.5
97.77777778,16.5,18.0,35.0
97.77777778,12.0,13.5,27.5
86.66666667,15.0,15.0,27.5
97.77777778,12.0,12.0,22.5
97.77777778,15.0,15.0,25.0
95.55555556,21.0,19.5,32.5
100.0,16.5,16.5,25.0
100.0,25.5,27.0,42.5
100.0,21.0,21.0,37.5
100.0,21.0,21.0,35.0
100.0,19.5,21.0,32.5
100.0,25.5,27.0,42.5
97.77777778,16.5,15.0,25.0
100.0,19.5,18.0,32.5
95.55555556,22.5,21.0,37.5
97.77777778,16.5,18.0,27.5
100.0,16.5,16.5,30.0
100.0,16.5,15.0,25.0
97.77777778,15.0,13.5,25.0
100.0,22.5,22.5,37.5
93.33333333,22.5,21.0,37.5
91.11111111,15.0,16.5,30.0
100.0,15.0,13.5,30.0
93.33333333,21.0,19.5,35.0
91.11111111,16.5,19.5,35.0
100.0,18.0,19.5,37.5
95.55555556,21.0,21.0,37.5
100.0,21.0,21.0,40.0
100.0,18.0,18.0,32.5
93.33333333,24.0,24.0,42.5
80.0,15.0,18.0,35.0
100.0,16.5,18.0,35.0
95.55555556,21.0,24.0,42.5
95.55555556,22.5,21.0,42.5
100.0,21.0,19.5,35.0
100.0,16.5,18.0,32.5
88.88888889,18.0,22.5,37.5
95.55555556,18.0,24.0,40.0
82.22222222,15.0,16.5,27.5
93.33333333,15.0,19.5,32.5
100.0,13.5,18.0,30.0
87.77777778,13.5,16.5,30.0
90.0,19.5,21.0,37.5
100.0,19.5,25.5,42.5
97.77777778,18.0,22.5,37.5
100.0,21.0,25.5,42.5
76.66666667,13.5,15.0,25.0
91.11111111,16.5,22.5,37.5
94.44444444,13.5,15.0,27.5
88.88888889,24.0,27.0,45.0
94.44444444,21.0,25.5,42.5
85.55555556,19.5,21.0,35.0
88.88888889,10.5,16.5,27.5
88.88888889,21.0,25.5,42.5
94.44444444,12.0,15.0,25.0
95.55555556,15.0,19.5,32.5
87.77777778,15.0,16.5,27.5
100.0,18.0,18.0,30.0
93.33333333,15.0,15.0,25.0
95.55555556,15.0,15.0,27.5
100.0,24.0,25.5,42.5
100.0,9.0,12.0,22.5
94.44444444,15.0,16.5,27.5
100.0,15.0,16.5,27.5
100.0,15.0,15.0,25.0
100.0,9.0,9.0,17.5
100.0,19.5,21.0,35.0
95.55555556,15.0,13.5,27.5
100.0,15.0,15.0,25.0
95.55555556,9.0,10.5,20.0
100.0,18.0,16.5,30.0
97.77777778,15.0,16.5,30.0
100.0,21.0,24.0,40.0
100.0,10.5,0.0,0.0
95.55555556,12.0,13.5,22.5
100.0,18.0,19.5,35.0
92.22222222,10.5,13.5,20.0
95.55555556,13.5,15.0,27.5
91.11111111,10.5,13.5,22.5
100.0,16.5,16.5,27.5
91.11111111,12.0,15.0,22.5
93.33333333,24.0,24.0,42.5
96.66666667,16.5,19.5,32.5
97.77777778,22.5,22.5,37.5
100.0,15.0,16.5,27.5
95.55555556,13.5,15.0,27.5
100.0,15.0,12.0,20.0
96.66666667,13.5,12.0,20.0
100.0,13.5,15.0,22.5
100.0,19.5,21.0,37.5
95.55555556,15.0,16.5,27.5
100.0,19.5,15.0,32.5
97.77777778,15.0,13.5,25.0
98.88888889,16.5,15.0,27.5
100.0,19.5,18.0,35.0
100.0,19.5,21.0,35.0
97.77777778,21.0,16.5,30.0
93.33333333,16.5,16.5,27.5
90.0,13.5,12.0,20.0
100.0,15.0,13.5,27.5
98.88888889,21.0,19.5,35.0
98.88888889,19.5,18.0,32.5
100.0,19.5,18.0,32.5
95.55555556,19.5,18.0,30.0
97.77777778,18.0,16.5,30.0
100.0,21.0,21.0,40.0
95.55555556,15.0,12.0,25.0
97.77777778,15.0,16.5,27.5
100.0,18.0,19.5,35.0
97.77777778,15.0,12.0,20.0
87.77777778,18.0,15.0,27.5
100.0,10.5,10.5,20.0
95.55555556,13.5,13.5,25.0
100.0,13.5,13.5,25.0
97.77777778,13.5,15.0,27.5
100.0,13.5,15.0,22.5
98.88888889,13.5,15.0,27.5
93.33333333,10.5,10.5,20.0
100.0,16.5,15.0,27.5
98.88888889,13.5,15.0,25.0
93.33333333,10.5,13.5,25.0
93.33333333,10.5,13.5,22.5
100.0,12.0,13.5,25.0
95.55555556,13.5,16.5,25.0
86.66666667,10.5,12.0,22.5
97.77777778,12.0,15.0,25.0
94.44444444,13.5,13.5,25.0
100.0,12.0,13.5,22.5
100.0,21.0,19.5,32.5
97.77777778,21.0,21.0,35.0
100.0,15.0,16.5,25.0
100.0,21.0,19.5,35.0
100.0,25.5,24.0,40.0
86.66666667,9.0,10.5,17.5
91.11111111,21.0,18.0,32.5
97.77777778,15.0,12.0,22.5
100.0,21.0,21.0,35.0
100.0,18.0,19.5,32.5
100.0,16.5,16.5,27.5
91.11111111,16.5,13.5,25.0
100.0,16.5,16.5,25.0
100.0,15.0,13.5,22.5
100.0,24.0,25.5,45.0
100.0,22.5,25.5,42.5
98.88888889,16.5,13.5,25.0
90.0,10.5,10.5,17.5
100.0,12.0,9.0,20.0
97.77777778,10.5,9.0,17.5
91.11111111,13.5,12.0,25.0
100.0,21.0,24.0,40.0
100.0,21.0,21.0,37.5
91.11111111,12.0,7.5,20.0
100.0,12.0,10.5,0.0
93.33333333,9.0,12.0,20.0
100.0,12.0,15.0,25.0
95.55555556,12.0,12.0,20.0
97.77777778,7.5,9.0,15.0
97.77777778,10.5,13.5,20.0
100.0,22.5,21.0,40.0
98.88888889,19.5,21.0,35.0
100.0,15.0,13.5,25.0
94.44444444,13.5,13.5,22.5
98.88888889,16.5,16.5,27.5
91.11111111,10.5,15.0,22.5
100.0,15.0,15.0,25.0
97.77777778,13.5,10.5,20.0
100.0,21.0,22.5,40.0
100.0,16.5,18.0,30.0
87.77777778,13.5,16.5,25.0
91.11111111,19.5,21.0,35.0
87.77777778,18.0,19.5,30.0
97.77777778,16.5,16.5,27.5
91.11111111,13.5,15.0,25.0
94.44444444,13.5,16.5,27.5
100.0,16.5,13.5,27.5
98.88888889,15.0,16.5,30.0
97.77777778,13.5,13.5,20.0
97.77777778,18.0,16.5,30.0
91.11111111,12.0,13.5,20.0
100.0,19.5,22.5,40.0
100.0,15.0,16.5,27.5
97.77777778,16.5,15.0,27.5
100.0,25.5,27.0,45.0
100.0,18.0,19.5,32.5
100.0,19.5,21.0,32.5
97.77777778,13.5,13.5,25.0
95.55555556,16.5,16.5,30.0
96.66666667,15.0,16.5,25.0
94.44444444,19.5,21.0,32.5
95.55555556,13.5,15.0,27.5
97.77777778,10.5,13.5,25.0
100.0,12.0,19.5,25.0
100.0,18.0,18.0,32.5
100.0,15.0,13.5,25.0
93.33333333,15.0,13.5,25.0
100.0,16.5,19.5,30.0
100.0,10.5,0.0,0.0
97.77777778,16.5,13.5,25.0
100.0,15.0,15.0,22.5
97.77777778,13.5,10.5,22.5
100.0,6.0,0.0,0.0
95.55555556,9.0,16.5,22.5
90.0,6.0,12.0,20.0
93.33333333,10.5,12.0,20.0
95.55555556,12.0,13.5,22.5
91.11111111,7.5,7.5,17.5
90.0,10.5,13.5,25.0
86.66666667,12.0,16.5,25.0
91.11111111,15.0,16.5,25.0
91.11111111,13.5,15.0,27.5
91.11111111,15.0,13.5,27.5
95.55555556,12.0,13.5,25.0
100.0,13.5,15.0,22.5
95.55555556,12.0,13.5,25.0
97.77777778,9.0,12.0,20.0
100.0,9.0,12.0,17.5
100.0,12.0,9.0,0.0
100.0,15.0,16.5,27.5
94.44444444,12.0,10.5,20.0
100.0,12.0,12.0,0.0
96.66666667,10.5,9.0,20.0
100.0,12.0,15.0,22.5
100.0,10.5,15.0,25.0
96.66666667,10.5,12.0,17.5
97.77777778,18.0,19.5,35.0
100.0,16.5,18.0,32.5
100.0,18.0,19.5,35.0
100.0,27.0,27.0,45.0
96.66666667,25.5,25.5,42.5
100.0,25.5,27.0,45.0
100.0,13.5,0.0,0.0
91.11111111,15.0,16.5,27.5
94.44444444,18.0,19.5,35.0
95.55555556,18.0,19.5,35.0
95.55555556,12.0,12.0,25.0
100.0,16.5,18.0,32.5
100.0,7.5,0.0,0.0
97.77777778,13.5,15.0,25.0
100.0,7.5,0.0,0.0
100.0,27.0,27.0,45.0
94.44444444,16.5,16.5,30.0
97.77777778,12.0,15.0,27.5
100.0,16.5,16.5,30.0
100.0,12.0,0.0,0.0
94.44444444,21.0,21.0,37.5
95.55555556,15.0,16.5,27.5
100.0,15.0,15.0,25.0
97.77777778,18.0,18.0,30.0
100.0,22.5,21.0,37.5
97.77777778,21.0,19.5,35.0
100.0,28.5,25.5,45.0
100.0,24.0,22.5,37.5
93.33333333,19.5,18.0,32.5
95.55555556,22.5,21.0,37.5
100.0,19.5,19.5,32.5
100.0,12.0,15.0,22.5
100.0,22.5,24.0,40.0
100.0,12.0,12.0,22.5
100.0,15.0,15.0,25.0
100.0,10.5,7.5,0.0
96.66666667,13.5,15.0,25.0
91.11111111,15.0,16.5,30.0
95.55555556,10.5,12.0,22.5
100.0,22.5,25.5,42.5
95.55555556,15.0,16.5,30.0
95.55555556,10.5,12.0,22.5
98.88888889,19.5,21.0,35.0
98.88888889,24.0,24.0,40.0
88.88888889,12.0,13.5,22.5
95.55555556,25.5,27.0,47.5
100.0,10.5,10.5,0.0
95.55555556,21.0,22.5,40.0
100.0,7.5,12.0,0.0
100.0,10.5,10.5,0.0
100.0,21.0,25.5,37.5
100.0,9.0,13.5,27.5
95.55555556,10.5,13.5,25.0
95.55555556,15.0,16.5,25.0
95.55555556,22.5,22.5,40.0
93.33333333,16.5,18.0,22.5
93.33333333,15.0,15.0,25.0
95.55555556,15.0,16.5,27.5
